bookID,title,author,rating,pages
1,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,652
2,The Lord of the Rings,J.R.R. Tolkien,4.5,1184
3,Throne of Glass,Sarah J. Maas,4.19,406
4,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,815
5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.56,435
8,Harry Potter Boxed Set Books 1-5,J.K. Rowling,4.78,2690
9,Unauthorized Harry Potter Book Seven News,W. Frederick Zimmerman,3.74,152
10,Harry Potter Collection,J.K. Rowling,4.73,3342
13,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.49,870
14,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,215
18,The Ultimate Hitchhiker's Guide,Douglas Adams,4.38,815
21,A Short History of Nearly Everything,Bill Bryson,4.21,544
22,Bill Bryson's African Diary,Bill Bryson,3.44,55
23,Bryson's Dictionary of Troublesome Words,Bill Bryson,3.87,256
24,In a Sunburned Country,Bill Bryson,4.07,335
25,I'm a Stranger Here Myself,Bill Bryson,3.9,304
26,The Lost Continent,Bill Bryson,3.83,299
27,Neither Here nor There,Bill Bryson,3.86,254
28,Notes from a Small Island,Bill Bryson,3.91,324
29,The Mother Tongue,Bill Bryson,3.93,270
30,J.R.R. Tolkien 4-Book Boxed Set,J.R.R. Tolkien,4.59,1728
31,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.42,352
34,The Fellowship of the Ring,J.R.R. Tolkien,4.36,398
45,Agile Web Development with Rails,Dave Thomas,3.84,558
50,Hatchet,Gary Paulsen,3.72,208
53,Guts,Gary Paulsen,3.88,144
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56
55,Hatchet Jobs,Dale Peck,3.45,228
57,A Changeling for All Seasons,Angela Knight,3.76,304
58,Changeling,Delia Sherman,3.6,256
59,The Changeling Sea,Patricia A. McKillip,4.06,137
61,The Changeling,Victor LaValle,3.78,431
67,The Known World,Edward P. Jones,3.83,388
71,Traders Guns & Money,Satyajit Das,3.83,334
72,Artesia,Mark Smylie,4.13,352
74,The John McPhee Reader,John McPhee,4.42,416
75,Uncommon Carriers,John McPhee,3.95,248
76,Heirs of General Practice,John McPhee,4.17,128
77,The Control of Nature,John McPhee,4.24,288
78,Annals of the Former World,John McPhee,4.34,720
79,Coming Into the Country,John McPhee,4.22,448
81,Giving Good Weight,John McPhee,4.23,288
83,Rising from the Plains,John McPhee,4.23,208
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81
89,Active Literacy Across the Curriculum,Heidi Hayes Jacobs,3.94,138
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128
91,Always Enough,Heidi Baker,4.46,192
92,Mapping the Big Picture,Heidi Hayes Jacobs,3.68,108
93,Heidi,Johanna Spyri,3.99,352
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192
96,There's Always Enough,Rolland Baker,4.46,192
98,What to Expect the First Year,Heidi Murkoff,3.89,832
99,The Player's Handbook,Heidi Fleiss,3.82,123
100,Simply Beautiful Beading,Heidi Boyd,3.78,128
103,God Emperor of Dune,Frank Herbert,3.84,423
105,Chapterhouse,Frank Herbert,3.91,436
106,Dune Messiah,Frank Herbert,3.88,331
107,Dreamer of Dune,Brian Herbert,4.01,592
109,Heretics of Dune,Frank Herbert,3.86,480
110,The Road to Dune,Frank Herbert,3.88,426
122,The Power of One,Bryce Courtenay,4.35,544
130,Power of an Hour,Dave Lakhani,3.34,205
132,How to Buy Sell & Profit on eBay,Adam Ginsberg,3.48,336
133,eBay for Dummies,Marsha Collier,3.5,386
135,What to Sell on ebay and Where to Get It,Chris Malta,3.62,260
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384
138,eBay,Julia Wilkinson,4.27,260
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864
141,Ruby Cookbook,Lucas Carlson,3.84,873
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206
147,Rails Cookbook,Rob Orsini,3.48,514
151,Anna Karenina,Leo Tolstoy,4.05,838
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,80
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360
160,Tolstoy,Anthony Thorlby,4.19,128
162,Untouchable,Mulk Raj Anand,3.71,160
163,The Untouchable,John Banville,3.95,367
164,The Untouchables,Eliot Ness,3.89,256
165,Untouchables,Narendra Jadhav,3.82,320
166,Dalit,V.T. Rajshekar,4.2,100
168,Growing Up Untouchable in India,Vasant Moon,3.65,224
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,216
177,A Wrinkle in Time,John Carratello,4,48
180,Wrinkles in Time,George Smoot,4.01,360
182,Literature Circle Guide,Tara MacCarthy,3.6,32
204,The Long Shadow,Cynthia Harrod-Eagles,4.12,367
205,A Long Shadow,Charles Todd,4.11,352
207,Long Way Round,Ewan McGregor,3.94,320
208,A Shadow in Summer,Daniel Abraham,3.6,331
213,New Hope for the Dead,Charles Willeford,3.9,244
214,Sideswipe,Charles Willeford,4.05,215
216,Miami Blues,Charles Willeford,3.94,191
230,The Burnt Orange Heresy,Charles Willeford,3.89,144
231,I am Charlotte Simmons,Tom Wolfe,3.42,738
237,Poetry for Young People,Edward Lear,3.91,48
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287
245,Henry Miller on Writing,Henry Miller,4.22,217
247,Quiet Days in Clichy,Henry Miller,3.69,154
249,Tropic of Cancer,Henry Miller,3.68,318
250,Tropic of Capricorn,Henry Miller,3.78,348
251,Nexus,Henry Miller,4.1,316
252,Sexus,Henry Miller,3.98,506
253,The Air-Conditioned Nightmare,Henry Miller,3.83,292
264,The Portrait of a Lady,Henry James,3.78,797
277,Writing,Marguerite Duras,3.75,91
278,The War,Marguerite Duras,3.85,192
280,The Ravishing of Lol Stein,Marguerite Duras,3.66,181
285,Love Letters,Kahlil Gibran,3.68,178
288,Kahlil Gibran,Jean Gibran,4.21,464
289,The Beloved,Kahlil Gibran,4.19,102
290,Jesus the Son of Man,Kahlil Gibran,3.98,216
291,The Broken Wings,Kahlil Gibran,3.92,132
292,Sand and Foam,Kahlil Gibran,4.08,100
295,Treasure Island,Robert Louis Stevenson,3.83,311
313,100 Years of Lynchings,Ralph Ginzburg,4.61,270
330,On Beyond Zebra,Dr. Seuss,4.04,64
332,The Wedding Clause,Debbie Raleigh,3.6,256
333,The Zebra Wall,Kevin Henkes,3.44,147
348,The Door Into Summer,Robert A. Heinlein,4.01,304
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434
355,Job,Robert A. Heinlein,3.78,439
356,Time for the Stars,Robert A. Heinlein,3.97,256
357,The Long Dark Tea-Time of the Soul,Douglas Adams,4.06,307
359,The Salmon of Doubt,Douglas Adams,3.93,298
362,Wish You Were Here,Nick Webb,4.14,368
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,256
377,Salmon of Doubt,Douglas Adams,3.93,336
382,The Phantom Tollbooth,Susan Nanus,4.13,72
